Localidade,Quantidade Famílias Sem Registro Civil,Quantidade Famílias Cadastrado,Quantidade Famílias Total
CAVALCATI,0,1,1
CAVALVANTI,0,2,2
CAVANCANTI,0,1,1
CAVLACANTI,0,1,1
CCAMPO GRANDE,0,1,1
CCASCADURA,0,1,1
CCENTRO,0,1,1
CCOMPLEXO DO ALEMAO,0,1,1
CCOSTA BARROS,0,1,1
CDADE DE DEUS,0,1,1
CDD,0,2,2
CE,0,1,1
CEN,0,2,2
CENMTRO,0,1,1
CENRO,0,2,2
CENTEO,0,1,1
CENTR,0,1,1
CENTRAL,0,3,3
CENTRO,0,6,6
CE NTRO,0,2,2
CENTRO 1,0,1,1
CENTROCENTRO,0,1,1
CENTRO DA CIDADE,0,2,2
CENTRO N,0,13,13
CENTRO Q,0,1,1
CENTYRO,0,1,1
CESARAO,0,4,4
CESARI ODE MELO,0,1,1
CETRO,0,1,1
CEWNTRO,0,1,1
CHACARA DO CEU,0,5,5
CHAPADAO,0,1,1
CHARACA DO CEU,0,2,2
CIADADE DE DEUS,0,1,1
CIADE DE DEUS,0,1,1
CICADE DE DEUS,0,1,1
CIDA,0,1,1
CIDADADE DE DEUS,0,1,1
CIDADA DE DEUS,0,2,2
CIDADE,0,1,1
CIDADE DE,0,1,1
CIDADE DE CIDADE,0,1,1
CIDADE DE DE,0,1,1
CIDADE DE DE DEUS,0,9,9
CIDADE DE DESU,0,3,3
CIDADE DE DEU,0,1,1
CIDADE DE DEUS,0,11,11
CIDADE DE DEUS3,0,1,1
CIDADE DE E DEUS,0,1,1
CIDA DE DEUS,0,2,2
CIDADE DEUS,0,1,1
CIDADE DEUS FERREIRA,0,1,1
CIDADE INDUSTRIAL,0,1,1
CIDADE NOVA,0,487,487
CIDADES DE DEUS,0,1,1
CIDADE UNIVERCITARIA,0,1,1
CIDADE UNIVERSITARIA,0,182,182
CIDADE UNIVESITARIA,0,1,1
CIDAE DE DEUS,0,1,1
CIOSTA BARROS,0,1,1
CIRICICA,0,1,1
CIVENTE DE CARVALHO,0,1,1
CMPLEXO DO ALEMAO,0,1,1
CMPO GRANDE,0,3,3
COAPCABANA,0,1,1
COCOTA,0,252,252
CODADE DE DEUS,0,1,1
COELGIO,0,3,3
COELH0 NETO,0,1,1
COELHO NET0,0,1,1
COELHO NETO,0,3,3
COELHO N ETO,0,1,1
COELHOP NETO,0,3,3
COELJHO NETO,0,1,1
COLEGIO,0,2,2
COLEGIOI,0,1,1
COLEHO NET0,0,1,1
COLEHO NETO,0,1,1
COLETIVO,0,1,1
COLHO NETO,0,1,1
COLOGIO,0,1,1
COLONIA,0,13,13
COLONIA JACAREPAGUA,0,1,1
COMLEXO DO ALEMAO,0,1,1
COMOS,0,2,2
COMPELXO DO ALEMAO,0,1,1
COMPEXO DO ALEMAO,0,14,14
COMPLEXO ALEMAO,0,7,7
COMPLEXO D ALEMAO,0,2,2
COMPLEXO DA MARE,0,4,4
COMPLEXO DA PENHA,0,10,10
COMPLEXO DE ALEMAO,0,19,19
COMPLEXO DO ALEMAO,0,12,12
COMPLEXO DO ALEMAOO,0,1,1
COMPLEXO DO ALEMAORUA,0,10,10
COMPLEXO DO ALEMAOTR,0,1,1
COMPLEXO DO ALEMNAO,0,1,1
COMPLEXO DO ALEMO,0,6,6
COMPLEXO DO CAMPINHO,0,1,1
COMPLEXO DO MEIO,0,1,1
COMPLEXON DO ALEMAO,0,1,1
COMPLEXO O ALEMAO,0,1,1
COMUNIDADE DO BOREL,0,1,1
CONJUNTO,0,1,1
CONJUNTO MIGUEL SALAZAR,0,1,1
COOLEGIO,0,1,1
COOMPLEXO DO ALEMAO,0,19,19
COPABACANA,0,1,1
COPACAABAN,0,1,1
COPACABAANA,0,1,1
COPACABANA,0,2,2
COPACABANA R,0,1,1
COPAQQCABANA,0,1,1
COPCABANA,0,2,2
COPLEXO DO ALEMAO,0,1,1
COR,0,1,1
CORD,0,1,1
CORDIVIL,0,1,1
CORDOVIL,0,4,4
CORDOVILRUA,0,1,1
CORDOVL,0,1,1
CORDOVOL,0,1,1
COROVIL,0,6,6
COSM0,0,1,1
COSME VELHO,0,491,491
COSMO,0,30,30
COSMOS,1,9,9
C OSMOS,0,1,1
COSNIS,0,1,1
COSTA,0,3,3
COSTA ABRROS,0,1,1
COSTA ARROS,0,1,1
COSTA BAARROS,0,1,1
COSTA BAROS,0,1,1
COSTA BARRAOS,0,1,1
COSTABARROS,0,3,3
COSTA BARROS,0,6,6
COSTA BARROSBECO,0,1,1
COSTA BARRROS,0,1,1
COSTA BASTOS,0,2,2
COSTA BRARROS,0,1,1
COSTA BRROS,0,1,1
COSTA BSRROS,0,1,1
COSTAS BARROS,0,3,3
COST BARROS,0,1,1
CRICICA,0,1,1
CS 2,0,1,1
CSOTA BARROS,0,1,1
CURCICA,0,9,9
CURI,0,1,1
CURICA,0,1,1
CURICIA,0,3,3
CURICICA,0,5,5
CURIICA,0,1,1
CURIR,0,1,1
CURIRICA,0,1,1
CURUCICA,0,2,2
CURUMAU,0,1,1
CWNTRO,0,1,1
CXAMPO GRANDE,0,3,3
CXURICICA,0,1,1
DAMIANA RODRIGUES DA SILVA,0,1,1
DDEL CASTILHO,0,1,1
DEDODRO,0,1,1
DEL CASTILHIO,0,1,1
DEL CASTILHO,0,1,1
DEL CASTILJO,0,1,1
DEL CATILHO,0,1,1
DEL CSTILHO,0,1,1
DENDE,0,1,1
DEOD0RO,0,1,1
DEODEORO,0,1,1
DEODODRO,0,1,1
DEODOR,0,2,2
DEODORA,0,1,1
DEODORO,0,1,1
DEODRO,0,2,2
DE VASCONCELOS,0,1,1
DOIS DE MAIO,0,1,1
DRENO,0,1,1
EDADE,0,1,1
EIO COMPRIDO,0,1,1
EMGENHEIRO LEAL,0,1,1
EMGENHO DE DENTRO,0,1,1
ENCANT,0,1,1
ENCANTA,0,1,1
ENCANTADO,0,1,1
ENCANTADOI,0,1,1
ENCANTANDO,0,1,1
ENCONTRO,0,1,1
ENEGENHEIRO LEAL,0,1,1
ENENHO NOVO,0,1,1
ENG,0,1,1
ENG DA RAINHA,0,1,1
ENGEHO DE DENTRO,0,1,1
ENGEHO NOVO,0,1,1
ENGEMNHEIRO LEAL,0,1,1
ENGENEHIRO LEAL,0,5,5
ENGENGO DA RAINHA,0,1,1
ENGENH,0,2,2
ENGENH DE DENTRO,0,1,1
ENGENHEIO LEAL,0,1,1
ENGENHEIRO LEAL,0,624,624
ENGENHERIO LEAL,0,1,1
ENGENHO,0,8,8
ENGENHO A RAINHA,0,1,1
ENGENHO D,0,1,1
ENGENHO DA DE DENTRO,0,1,1
ENGENHO DA RAINHA,0,2,2
ENGENHO D DENTRO,0,1,1
ENGENHO DE DENTO,0,3,3
ENGENHO DE DENTRO,0,5,5
ENGENHO DE MDENTRO,0,1,1
ENGENHO DE NOVO,0,1,1
ENGENHO DENTRO,0,1,1
ENGENHO D ENTRO,0,1,1
ENGENHO DFA RAINHA,0,1,1
ENGENHO DO RAINHA,0,2,2
ENGENHOI DA RAINHA,0,1,1
ENGEN HO NOVO,0,1,1
ENGENHO NOVO,0,4,4
ENGENHO RAINHA,0,1,1
ENGENHO VONO,0,2,2
ENGEN NOVO,0,1,1
ENGENO NOVO,0,1,1
ENGNEH0 NOVO,0,1,1
ENGNEHO DE DENTRO,0,1,1
ENGNHO NOVO,0,2,2
ENHENHO NOVO,0,1,1
ENHGENHO NOVO,0,1,1
ENNGENHO DE DENTRO,0,1,1
ENTRO,0,1,1
EN TRO,0,1,1
ERENICIA GOMES VITAL,0,1,1
ESTACIO,0,2,2
ESTRADA,0,6,6
ESTRADA DA PEDRA,0,1,1
ESTRADA DAS CANOAS,0,1,1
FALLET,0,2,2
FAZENDA BOTAFOGO,0,3,3
FEREGUESIA JACAREPAGUA,0,1,1
FERNANDA FARIAS LEAL,0,1,1
FLAMENGO,0,411,411
FORMIGA,0,2,2
FRE,0,1,1
FREGUESIA,1,1,1
FREGUESIA JACAEPAGUA,0,1,1
FREGUESIA JACARAPAGUA,0,1,1
FREGUESIA JACAREAPAGUA,0,1,1
FREGUESIA JACAREPAGUA,0,936,936
FREGUESIA JPA,0,84,84
FREGUESI JACAREPAGUA,0,1,1
FREQUESIA,0,3,3
Localidade nÃ£o preenchida,0,1,1
GA,0,1,1
GABINAL,0,1,1
GADERNIA AZUL,0,3,3
GALAEAO,0,2,2
GALEA0,0,1,1
GALEAI,0,1,1
GALEAO,0,2,2
GALEO,0,5,5
GALEOA,0,1,1
GAMBO,0,1,1
GAMBOA,0,2,2
GAMGOA,0,1,1
GAR,0,1,1
GARATIBA,0,2,2
GARDE,0,2,2
GARDEMIA AZUL,0,3,3
GARDENI,0,1,1
GARDENIA,0,11,11
GARDENIAAZUL,0,1,1
GARDENIA AZUL,0,2,2
GARDENI AZUL,0,1,1
GARDENIA ZUL,0,2,2
GAUARTIBA,0,1,1
GAUDALUPE,0,3,3
GAVEA,0,205,205
GIADALUPE,0,1,1
GLORIA,0,566,566
GLORIAQ,0,1,1
GRAJA,0,1,1
GRAJAU,0,1,1
GRAJAUA,0,1,1
GRDENIA AZUL,0,1,1
GRUMARI,0,14,14
GSMBOA,0,1,1
GU,0,1,1
GUAARATIBA,0,6,6
GUAARTIBA,0,1,1
GUABRATIBA,0,1,1
GUADA,0,3,3
GUADALPE,0,1,1
GUADALU,0,1,1
GUADALUOE,0,1,1
GUADALUPE,0,5,5
GUADALUPEA,0,1,1
GUADALUPR,0,1,1
GUADALUPWE,0,1,1
GUADAPUPE,0,1,1
GUADAUPE,0,3,3
GUADLUPE,0,1,1
GUAGALUPE,0,1,1
GUAGRATIBA,0,1,1
GUANDU,0,4,4
GUARA,0,2,2
GUARABU,0,1,1
GUARAIBA,0,1,1
GUARASTIBA,0,1,1
GUARAT,0,1,1
GUARATAIBA,0,6,6
GUARATIB,0,1,1
GUARATIBA,0,14,14
GUA RATIBA,0,1,1
GUARA TIBA,0,1,1
GUARATI BA,0,2,2
GUARATIB A,0,1,1
GUARATIBAA,0,1,1
GUARATIBAESTR,0,1,1
GUARATIBARU,0,1,1
GUARATIBARUA,0,2,2
GUARATIBBA,0,1,1
GUARATIIBA,0,2,2
GUARATINA,0,2,2
GUARATRIBA,0,1,1
GUARDENIA AZUL,0,1,1
GUARQATIBA,0,1,1
GUARTAIBA,0,4,4
GUARTIBA,0,8,8
GUATATIBA,0,1,1
GUBARATIBA,0,1,1
GUDALUPE,0,6,6
GUIADALUPE,0,2,2
GUIARATIBA,0,1,1
GURATIBA,0,20,20
GUSDALUPE,0,1,1
GUSRATIBA,0,1,1
GYADALUPE,0,1,1
GYARATIBA,0,1,1
Localidade nÃ£o preenchida,0,1,1
HIGIEMOPOLIS,0,1,1
HIGIENOLPOLIS,0,1,1
HIGIENOPOLIS,0,731,731
HIGIRNOPOLIS,0,1,1
HIIENOPOLIS,0,1,1
HOGIENOPOLIS,0,1,1
HOGOENOLOPIS,0,1,1
HONIRIO GURGEL,0,1,1
HONORIO,0,2,2
HONORIO GRUGEL,0,1,1
HONORIO GUEGEL,0,1,1
HONORIO GUIRGEL,0,3,3
HONORIO GURG,0,1,1
HONORIO GURGEL,0,2,2
HONORIO GURGRL,0,1,1
HONORIO GURGUEL,0,2,2
HONORORIO GURGEL,0,1,1
HORNORIO GURGEL,0,1,1
HUMAITA,0,68,68
Localidade nÃ£o preenchida,0,2,2
IILHA DO GOVERNADO,0,1,1
IINHOAIBA,0,3,3
IIPANEMA,0,1,1
ILHA,0,1,1
ILHA DE GUARATIBA,0,5,5
ILHA DE PAQUETA,0,6,6
ILHA DO FUNDAO,0,1,1
ILHA DO GOVERNADOR,0,28,28
IMHAUMA,0,2,2
INAHUMA,0,3,3
INHAHUMA,0,2,2
INHAIBA,0,1,1
INHAIMA,0,1,1
INHAMA,0,1,1
INHAOAIBA,0,1,1
INHAOIAB,0,1,1
INHAOIBA,0,6,6
INHAUMA,0,2,2
INHAUMMA,0,1,1
INHJAUMA,0,1,1
INHOA,0,1,1
INHOABA,0,3,3
INHOAI,0,2,2
INHOAIABA,0,2,2
INHOAIBA,0,9,9
INHOAIBAS,0,1,1
INHOAIBBA,0,1,1
INHOAIBEA,0,1,1
INHOAIBS,0,1,1
INHOAINA,0,1,1
INHOIABA,0,14,14
INHOIAIBA,0,2,2
INHOIBA,0,13,13
INJHAUMA,0,1,1
INJHOAIBA,0,1,1
INNHOIAIBA,0,1,1
INOAIBA,0,2,2
INS DE VASCONCELOS,0,1,1
IOTA,0,1,1
IPANEM,0,1,1
IPANEMA,0,1,1
IRA,0,2,2
IRAJA,0,3,3
IRAJAA,0,1,1
IRAJACARI,0,1,1
IRANHANGA,0,1,1
IRTA,0,1,1
ISANTA CRUZ,0,1,1
ITA,0,10,10
ITA0,0,1,1
ITAIBA,0,1,1
ITAN,0,2,2
ITANGANGA,0,1,1
ITANH,0,4,4
ITANHA,0,2,2
ITANHAGA,0,11,11
ITANHAN,0,3,3
ITANHANAGA,0,1,1
ITANHANG,0,1,1
ITANHANGA,1,3,3
ITAN HANGA,0,1,1
ITANHANGARU,0,1,1
ITANHANGA RUA,0,1,1
ITANHANGAS,0,1,1
ITANHN,0,1,1
ITANHNAGA,0,4,4
ITAQNHA,0,2,2
ITNAHANGA,0,1,1
Localidade nÃ£o preenchida,0,1,1
J A,0,2,2
JAACRE,0,2,2
JAARDIM AMERICA,0,1,1
JAAREPAGUA,0,1,1
JACAEPAGUA,0,1,1
JACARAPEGUA,0,2,2
JACARE,0,4,4
JACAREAPAGU,0,1,1
JACAREAPAGUA,0,3,3
JACAREAPGUA,0,3,3
JACAREOAGUA,0,1,1
JACAREPA,0,1,1
JACAREPAGAU,0,1,1
JACAREPAGU,0,1,1
JACAREPAGUA,0,5,5
JACARE PAGUA,0,1,1
JACAREPAGUA FREGUESIA,0,1,1
JACAREPAUA,0,1,1
JACAREPEGUA,0,1,1
JACAREPGUA,0,2,2
JACAREZIBHO,0,1,1
JACAREZIHO,0,1,1
JACAREZINH,0,1,1
JACAREZINH0,0,1,1
JACAREZINHO,0,2,2
JACAREZINO,0,1,1
JACAREZXINHO,0,1,1
JACREPAGUA,0,7,7
JADIM CARIOCA,0,1,1
JAQUELINE GONALVES DA SILVA,0,1,1
JAQUELINE OLIVEIRA DE SOUZA,0,1,1
JAR,0,1,1
JARDIM AMERIC,0,1,1
JARDIM AMERICA,0,3,3
JARDIM AMREICA,0,1,1
JARDIM BANGU,0,20,20
JARDIM BOTANICO,0,129,129
JARDIM BOTANICP,0,1,1
JARDIM CARICA,0,1,1
JARDIM CARIOCA,0,1,1
JARDIM GUANABARA,0,145,145
JARDIM GUARATIBA,0,2,2
JARDIM MAERICA,0,1,1
JARDIM MARAVILHA,0,3,3
JARDIM PALMARES,0,1,1
JARDIM PALMARES PACIENCIA,0,1,1
JARDIM SULACAP,0,290,290
JARDIM SULA CAP,0,1,1
JARDIM VARIOCA,0,1,1
JAREPAGUA,0,1,1
JAVATA,0,1,1
JD CARIOCA,0,1,1
JESUITAS,0,2,2
JHARDIM CARIOCA,0,1,1
JOA,0,1,1
JOAO NUNES SALDANHA,0,1,1
JOAO RIBEIRO,0,1,1
JORDAO,0,1,1
JOSE AUGUSTO MARTINS DE OLIVEIRA,0,1,1
KELSOM PENHA CIRCULAR,0,1,1
KELSON,0,2,2
KOSMOS,0,1,1
LAGOA,0,35,35
LAGOA DA BARRA,0,1,1
LAPA,0,79,79
LARANJAIRAS,0,1,1
LARANJEIRA,0,7,7
LARANJEIRAS,0,1,1
LARNJEIRAS,0,1,1
LBLON,0,1,1
LEBLON,0,208,208
LEME,0,558,558
LEMOS,0,1,1
LIINS DE VASCONCELOS,0,1,1
LINHA VERDE,0,1,1
LINS,0,3,3
LINSA DE VASCONCELOS,0,1,1
LINS DE BVASCONCELOS,0,1,1
LINS DE VAACONCELOS,0,1,1
LINS DE VACONCELOS,0,16,16
LINS DE VADONCONCELOS,0,1,1
LINS DE VANCOCELOS,0,1,1
LINS DE VANCONCELOS,0,2,2
LINS DE VASCNCELOS,0,1,1
LINS DE VASCOCELOS,0,17,17
LINS DE VASCOELOS,0,1,1
LINS DE VASCONCELLOS,0,1,1
LINS DE VASCONCELO,0,1,1
LINS DEVASCONCELOS,0,5,5
LINS DE VASCONCELOS,0,4,4
LINS DE VASCONCELOSQ,0,1,1
LINS DE VASCONCELSO,0,1,1
LINS DE VASCONCEOS,0,1,1
LINS DE VASCONCLOS,0,1,1
LINS DE VASCONCONCELOS,0,1,1
LINS DE VASCONELOS,0,1,1
LINS DE VASCOVELOS,0,1,1
LINS DE VASOCNCELOS,0,1,1
LINS DE VASONCELOS,0,3,3
LINS DE VSCONCELOS,0,1,1
LINS E VASCONCELOS,0,1,1
LINS VASCONCELLOS,0,1,1
LINS VASCONCELO,0,1,1
LINS VASCONCELOS,0,6,6
LIS DE VASCONCELOS,0,1,1
LIS E VASONCELOS,0,1,1
LISN DE VASCONCELOS,0,1,1
LOTEAMENTO VILA EMILIA,0,1,1
LUCIO FLAVIO DE SOUSA FELISBERTO DE OLIVEIRA,0,1,1
LUIZ OTAVIO DIAS PEREIRA,0,1,1
MA,0,1,1
MABGUEIRA,0,1,1
MACILIO DIAS,0,1,1
MADU,0,1,1
MADUEIRA,0,10,10
MADUEIRA1,0,1,1
MADUEREIRA,0,3,3
MADUREIEA,0,1,1
MADUREIRA,0,5,5
MADURERIA,0,2,2
MADURERIRA,0,1,1
MADUREURA,0,1,1
MADURIRA,0,2,2
MADUTEIRA,0,1,1
MAGAHAES BASTOS,0,1,1
MAGALAES BASTOS,0,1,1
MAGALAHES BASTOS,0,9,9
MAGALHAE BASTOS,0,1,1
MAGALHAES,0,1,1
MAGALHAES BASTO,0,1,1
MAGALH AES BASTOS,0,1,1
MAGALHAES BASTOS,0,2,2
MAGALHAES DE BASTOS,0,2,2
MAGALHAES MALLET,0,1,1
MAGALHAS BASTOS,0,3,3
MAGALHES BASTOS,0,1,1
MAGALHGAES BASTOS,0,1,1
MAGALI,0,1,1
MAGARCA,0,4,4
MAGLHAES BASTOS,0,1,1
MAGUEIRA,0,3,3
MAGUINHOS,0,6,6
MAMDUREIRA,0,1,1
MAN1,0,1,1
MANDELA,0,2,2
MANGARATIBA,0,2,2
MANGINHOS,0,1,1
MANGUARIBA,0,4,4
MANGUEIRA,0,6,6
MANGUEIR A,0,3,3
MANGUEIRQA,0,1,1
MANGUERA,0,1,1
MANGUERIA,0,5,5
MANGUIEIRA,0,2,2
MANGUIERA,0,1,1
MANGUIHOS,0,1,1
MANGUINHHOS,0,1,1
MANGUINHO,0,5,5
MANGUINHOD,0,1,1
MANGUINHOOS,0,1,1
MANGUINHOS,0,4,4
MANGUNHOS,0,3,3
MANHGUINHOS,0,1,1
MANQUINHO,0,1,1
MANUINHOS,0,1,1
MAQNGUEIRA,0,2,2
MARA,0,1,1
MARACAN,0,1,1
MARACANA,0,206,206
MARAE,0,1,1
MARCEHAL HERMES,0,1,1
MARCELLE CARVALHO RUSSO,0,1,1
MARCHAL HERMES,0,4,4
MARCILIO DIAS,0,1,1
